ICAO,Latitude,Longitude,Name
AYGA,"6° 4' 54.08"" S","145° 23' 31.19"" E",Goroka Airport PG
AYGN,"10° 18' 41.40"" S","150° 20' 2.40"" E",Gurney Airport PG
AYGR,"8° 48' 16.34"" S","148° 18' 32.42"" E",Girua Airport PG
AYHK,"5° 27' 43.81"" S","150° 24' 18.00"" E",Kimbe Airport PG
AYKA,"8° 30' 20.95"" S","151° 4' 51.58"" E",Losuia Airport PG
AYKI,"6° 7' 32.56"" S","141° 16' 55.19"" E",Kiunga Airport PG
AYKK,"7° 25' 27.77"" S","144° 15' 0.27"" E",Kikori Airport PG
AYKM,"7° 57' 49.00"" S","145° 46' 15.59"" E",Kerema Airport PG
AYKV,"2° 34' 45.84"" S","150° 48' 28.80"" E",Kavieng Airport PG
AYKY,"3° 2' 37.00"" S","152° 37' 44.39"" E",Londolovit Airport PG
AYMD,"5° 12' 25.49"" S","145° 47' 20.41"" E",Madang Airport PG
AYMH,"5° 49' 36.44"" S","144° 17' 45.62"" E",Mount Hagen Airport PG
AYMN,"6° 8' 51.86"" S","143° 39' 25.19"" E",Mendi Airport PG
AYMO,"2° 3' 42.80"" S","147° 25' 26.39"" E",Momote Airport PG
AYMR,"6° 21' 47.99"" S","143° 14' 16.82"" E",Moro Airport PG
AYMS,"10° 41' 21.12"" S","152° 50' 16.79"" E",Misima Island Airport PG
AYNZ,"6° 34' 11.39"" S","146° 43' 33.59"" E",Lae Nadzab Airport PG
AYPY,"9° 26' 36.17"" S","147° 13' 12.00"" E",Jacksons International Airport PG
AYTA,"5° 50' 42.00"" S","142° 56' 52.79"" E",Tari Airport PG
AYTB,"5° 16' 43.00"" S","141° 13' 33.59"" E",Tabubil Airport PG
AYTK,"4° 20' 25.66"" S","152° 22' 48.02"" E",Tokua Airport PG
AYVN,"2° 41' 49.81"" S","141° 18' 7.21"" E",Vanimo Airport PG
AYWD,"5° 38' 35.88"" S","143° 53' 42.02"" E",Wapenamanda Airport PG
AYWK,"3° 35' 1.79"" S","143° 40' 8.42"" E",Wewak International Airport PG
BGAA,"68° 43' 18.49"" N","52° 47' 4.91"" W",Aasiaat Airport GL
BGBW,"61° 9' 37.80"" N","45° 25' 33.60"" W",Narsarsuaq Airport GL
BGCO,"70° 44' 35.17"" N","22° 39' 1.80"" W",Neerlerit Inaat Airport GL
BGGH,"64° 11' 27.25"" N","51° 40' 41.16"" W",Nuuk Airport GL
BGJN,"69° 14' 35.53"" N","51° 3' 25.55"" W",Ilulissat Airport GL
BGKK,"65° 34' 24.96"" N","37° 7' 24.96"" W",Metropolitan Area Airport GL
BGMQ,"65° 24' 44.99"" N","52° 56' 21.84"" W",Maniitsoq Airport GL
BGPT,"62° 0' 53.05"" N","49° 40' 15.37"" W",Paamiut Airport GL
BGQQ,"77° 29' 18.97"" N","69° 23' 19.33"" W",Qaanaaq Airport GL
BGSF,"67° 0' 44.00"" N","50° 42' 41.77"" W",Kangerlussuaq Airport GL
BGSS,"66° 57' 4.69"" N","53° 43' 45.49"" W",Sisimiut Airport GL
BGTL,"76° 31' 52.31"" N","68° 42' 11.52"" W",Thule Air Base GL
BGUK,"72° 47' 24.72"" N","56° 7' 50.16"" W",Upernavik Airport GL
BGUQ,"70° 44' 3.12"" N","52° 41' 46.32"" W",Qaarsut Airport GL
BIAR,"65° 39' 36.01"" N","18° 4' 21.72"" W",Akureyri Airport IS
BIBD,"65° 38' 28.67"" N","23° 32' 46.32"" W",Bíldudalur Airport IS
BIBF,"65° 30' 59.05"" N","13° 48' 18.00"" W",Borgarfjörður Airport IS
BIBK,"66° 1' 18.83"" N","14° 49' 27.84"" W",Bakkafjörður Airport IS
BIBL,"65° 38' 41.99"" N","20° 17' 15.00"" W",Hjaltabakki Airport IS
BIBR,"65° 4' 31.09"" N","21° 48' 1.08"" W",Búðardalur Airport IS
BIBV,"64° 47' 24.00"" N","14° 1' 22.08"" W",Breiðdalsvík Airport IS
BIDV,"64° 38' 39.13"" N","14° 16' 58.08"" W",Djúpivogur Airport IS
BIEG,"65° 16' 59.89"" N","14° 24' 5.04"" W",Egilsstaðir Airport IS
BIFF,"64° 55' 54.13"" N","14° 3' 38.16"" W",Fáskrúðsfjörður Airport IS
BIFM,"63° 52' 28.92"" N","16° 38' 27.96"" W",Fagurhólsmýri Airport IS
BIGF,"64° 59' 29.05"" N","23° 13' 28.92"" W",Grundarfjörður Airport IS
BIGJ,"65° 59' 43.08"" N","21° 19' 36.84"" W",Gjögur Airport IS
BIGR,"66° 32' 44.88"" N","18° 1' 2.28"" W",Grímsey Airport IS
BIHK,"65° 42' 16.91"" N","21° 41' 47.04"" W",Hólmavík Airport IS
BIHN,"64° 17' 44.16"" N","15° 13' 37.92"" W",Hornafjordur Airport IS
BIHT,"66° 0' 51.05"" N","23° 26' 30.09"" W",Holt Airport IS
BIHU,"65° 57' 8.28"" N","17° 25' 33.60"" W",Húsavík Airport IS
BIHV,"65° 15' 59.05"" N","20° 50' 48.84"" W",Krókstaðarmelar Airport IS
BIID,"66° 3' 0.01"" N","23° 41' 45.96"" W",Ingjaldssanður Airport IS
BIIS,"66° 3' 29.15"" N","23° 8' 7.08"" W",Ãsafjörður Airport IS
BIKF,"63° 59' 6.00"" N","22° 36' 20.16"" W",Keflavík International Airport IS
BIKP,"66° 18' 38.88"" N","16° 28' 0.12"" W",Kópasker Airport IS
BIKR,"65° 43' 54.11"" N","19° 34' 22.08"" W",Sauðárkrókur Airport IS
BINF,"65° 7' 54.83"" N","13° 44' 47.04"" W",Norðfjörður Airport IS
BIOF,"66° 4' 59.87"" N","18° 40' 0.12"" W",Ólafsfjörður Airport IS
BIPA,"65° 33' 20.89"" N","23° 57' 54.00"" W",Patreksfjordur Airport IS
BIRE,"65° 27' 9.46"" N","22° 12' 22.02"" W",Reykhólar Airport IS
BIRF,"64° 54' 41.04"" N","23° 49' 23.16"" W",Rif Airport IS
BIRG,"66° 24' 23.05"" N","15° 55' 5.88"" W",Raufarhöfn Airport IS
BIRK,"64° 7' 47.99"" N","21° 56' 26.16"" W",Reykjavík Airport IS
BIRL,"65° 39' 20.88"" N","16° 55' 5.16"" W",Reykjahlíð Airport IS
BISI,"66° 7' 59.88"" N","18° 55' 0.12"" W",Siglufjordur Airport IS
BIST,"65° 3' 29.15"" N","22° 47' 39.12"" W",Stykkishólmur Airport IS
BITE,"65° 52' 13.08"" N","23° 33' 36.00"" W",Ãžingeyri Airport IS
BITN,"66° 13' 6.59"" N","15° 20' 8.16"" W",Thorshofn Airport IS
BIVM,"63° 25' 27.48"" N","20° 16' 44.04"" W",Vestmannaeyjar Airport IS
BIVO,"65° 43' 14.15"" N","14° 51' 2.16"" W",Vopnafjörður Airport IS
BKPR,"42° 34' 22.08"" N","21° 2' 8.88"" E",Pristina International Airport CS-KM
CAD4,"49° 3' 20.16"" N","117° 36' 32.40"" W",Trail Airport CA
CAH3,"49° 40' 45.85"" N","124° 58' 55.21"" W",Courtenay Airpark CA
CAJ4,"52° 27' 9.00"" N","125° 18' 10.81"" W",Anahim Lake Airport CA
CAL4,"57° 13' 26.04"" N","111° 25' 8.40"" W",Fort MacKay/Albian Aerodrome CA
CCA6,"52° 34' 0.83"" N","55° 47' 4.91"" W",Williams Harbour Airport CA
CCK4,"52° 22' 22.08"" N","55° 40' 26.04"" W",St. Lewis (Fox Harbour) Airport CA
CCP4,"52° 31' 41.16"" N","56° 17' 9.95"" W",Port Hope Simpson Airport CA
CCZ2,"54° 10' 46.92"" N","58° 27' 27.00"" W",Rigolet Airport CA
CEB3,"67° 1' 59.89"" N","126° 4' 58.80"" W",Colville Lake Airport CA
CEM3,"63° 7' 54.11"" N","117° 14' 45.61"" W",WhatÃ¬ Airport CA
CER4,"57° 3' 20.16"" N","111° 34' 26.39"" W",Fort McMurray / Mildred Lake Airport CA
CFG6,"57° 16' 33.00"" N","110° 58' 36.00"" W",Fort Mackay / Firebag CA
CJV7,"52° 42' 30.96"" N","88° 32' 30.84"" W",Summer Beaver Airport CA
CKB6,"53° 50' 57.12"" N","89° 34' 45.84"" W",Wapekeka Airport CA
CKL3,"52° 53' 38.05"" N","89° 17' 21.12"" W",Wunnumin Lake Airport CA
CKQ3,"52° 29' 24.01"" N","92° 58' 15.96"" W",North Spirit Lake Airport CA
CKV4,"60° 18' 59.04"" N","103° 7' 44.39"" W",North of Sixty Airport CA
CNE3,"53° 57' 56.16"" N","91° 1' 37.92"" W",Bearskin Lake Airport CA
CNM5,"53° 0' 45.00"" N","89° 51' 19.08"" W",Kingfisher Lake Airport CA
CNT3,"51° 39' 30.96"" N","85° 54' 6.13"" W",Ogoki Post Airport CA
CPF2,"46° 25' 13.08"" N","84° 5' 31.92"" W",Bar River Airport CA
CPV7,"52° 6' 47.88"" N","94° 15' 20.16"" W",Poplar Hill Airport CA
CSK6,"63° 35' 36.96"" N","110° 54' 21.59"" W",Snap Lake Airport CA
CSR8,"48° 55' 1.91"" N","79° 10' 42.95"" W",La Sarre Airport CA
CSU2,"53° 48' 20.16"" N","78° 55' 0.84"" W",Chisasibi Airport CA
CTB6,"50° 40' 27.84"" N","59° 23' 0.95"" W",Tête-à-la-Baleine Airport CA
CTP9,"61° 39' 43.92"" N","73° 19' 17.05"" W",Donaldson Airport CA
CTU5,"50° 49' 50.88"" N","58° 58' 32.16"" W",La Tabatière Airport CA
CYAC,"51° 43' 37.92"" N","91° 49' 27.85"" W",Cat Lake Airport CA
CYAG,"48° 39' 15.13"" N","93° 26' 22.91"" W",Fort Frances Municipal Airport CA
CYAH,"53° 45' 16.92"" N","73° 40' 31.08"" W",La Grande-4 Airport CA
CYAL,"50° 34' 55.92"" N","126° 54' 57.60"" W",Alert Bay Airport CA
CYAM,"46° 29' 6.00"" N","84° 30' 33.84"" W",Sault Ste. Marie Airport CA
CYAQ,"53° 31' 28.92"" N","88° 38' 34.08"" W",Kasabonika Airport CA
CYAS,"60° 1' 37.92"" N","69° 59' 57.12"" W",Kangirsuk Airport CA
CYAT,"52° 55' 39.01"" N","82° 25' 54.84"" W",Attawapiskat Airport CA
CYAU,"44° 13' 49.08"" N","64° 51' 21.97"" W",Liverpool South Shore Regional Airport CA
CYAV,"50° 3' 23.04"" N","97° 1' 57.00"" W",Winnipeg/St. Andrews Airport CA
CYAW,"44° 38' 23.00"" N","63° 29' 58.00"" W",Halifax/Shearwater Airport CA
CYAX,"50° 17' 39.84"" N","96° 0' 36.01"" W",Lac Du Bonnet Airport CA
CYAY,"51° 23' 30.84"" N","56° 4' 59.16"" W",St. Anthony Airport CA
CYAZ,"49° 4' 47.37"" N","125° 46' 32.18"" W",Tofino Airport CA
CYBB,"68° 32' 3.84"" N","89° 48' 29.15"" W",Kugaaruk Airport CA
CYBC,"49° 7' 57.00"" N","68° 12' 15.84"" W",Baie-Comeau Airport CA
CYBD,"52° 23' 15.00"" N","126° 35' 45.60"" W",Bella Coola Airport CA
CYBE,"59° 33' 41.04"" N","108° 28' 51.61"" W",Uranium City Airport CA
CYBF,"54° 18' 15.12"" N","110° 44' 38.41"" W",Bonnyville Airport CA
CYBG,"48° 19' 50.16"" N","70° 59' 47.04"" W",Bagotville Airport CA
CYBK,"64° 17' 56.03"" N","96° 4' 40.07"" W",Baker Lake Airport CA
CYBL,"49° 57' 2.89"" N","125° 16' 15.61"" W",Campbell River Airport CA
CYBQ,"58° 42' 21.96"" N","98° 30' 43.92"" W",Tadoule Lake Airport CA
CYBR,"49° 54' 36.00"" N","99° 57' 6.83"" W",Brandon Municipal Airport CA
CYBT,"57° 53' 21.84"" N","101° 40' 44.40"" W",Brochet Airport CA
CYBV,"52° 21' 32.03"" N","97° 1' 5.89"" W",Berens River Airport CA
CYBX,"51° 26' 36.96"" N","57° 11' 7.08"" W",Lourdes-de-Blanc-Sablon Airport CA
CYCA,"53° 40' 58.08"" N","57° 2' 30.84"" W",Cartwright Airport CA
CYCB,"69° 6' 29.16"" N","105° 8' 16.80"" W",Cambridge Bay Airport CA
CYCC,"45° 5' 34.08"" N","74° 33' 47.88"" W",Cornwall Regional Airport CA
CYCD,"49° 3' 8.28"" N","123° 52' 12.01"" W",Nanaimo Airport CA
CYCE,"43° 17' 8.16"" N","81° 30' 29.88"" W",Centralia/Huron Airpark CA
CYCG,"49° 17' 47.03"" N","117° 37' 55.21"" W",Castlegar Airport CA
CYCH,"47° 0' 28.08"" N","65° 26' 57.13"" W",Miramichi Airport CA
CYCL,"47° 59' 26.88"" N","66° 19' 49.08"" W",Charlo Airport CA
CYCN,"49° 6' 20.15"" N","81° 0' 48.97"" W",Cochrane Airport CA
CYCO,"67° 49' 0.13"" N","115° 8' 38.39"" W",Kugluktuk Airport CA
CYCQ,"55° 41' 13.92"" N","121° 37' 37.20"" W",Chetwynd Airport CA
CYCR,"54° 36' 38.16"" N","97° 45' 38.89"" W",Cross Lake (Charlie Sinclair Memorial) Airport CA
CYCS,"63° 20' 48.84"" N","90° 43' 51.97"" W",Chesterfield Inlet Airport CA
CYCY,"70° 29' 9.96"" N","68° 31' 0.12"" W",Clyde River Airport CA
CYCZ,"50° 19' 49.08"" N","115° 52' 22.80"" W",Fairmont Hot Springs Airport CA
CYDA,"64° 2' 35.15"" N","139° 7' 40.82"" W",Dawson City Airport CA
CYDB,"61° 22' 15.96"" N","139° 2' 27.60"" W",Burwash Airport CA
CYDF,"49° 12' 38.88"" N","57° 23' 29.04"" W",Deer Lake Airport CA
CYDM,"61° 58' 14.16"" N","132° 25' 22.81"" W",Ross River Airport CA
CYDN,"51° 6' 2.88"" N","100° 3' 7.21"" W",Dauphin (Lt. Col W.G. (Billy) Barker VC Airport) CA
CYDO,"48° 46' 42.60"" N","72° 22' 30.00"" W",Dolbeau-St-Félicien Airport CA
CYDP,"56° 32' 57.11"" N","61° 40' 49.09"" W",Nain Airport CA
CYDQ,"55° 44' 32.27"" N","120° 10' 58.80"" W",Dawson Creek Airport CA
CYEE,"44° 40' 59.88"" N","79° 55' 41.88"" W",Huronia Airport CA
CYEG,"53° 18' 34.92"" N","113° 34' 48.01"" W",Edmonton International Airport CA
CYEK,"61° 5' 39.12"" N","94° 4' 14.88"" W",Arviat Airport CA
CYEL,"46° 21' 5.03"" N","82° 33' 41.04"" W",Elliot Lake Municipal Airport CA
CYEM,"45° 50' 34.08"" N","81° 51' 29.16"" W",Manitowaning/Manitoulin East Municipal Airport CA
CYEN,"49° 12' 37.08"" N","102° 57' 57.61"" W",Estevan Airport CA
CYER,"56° 1' 8.05"" N","87° 40' 33.97"" W",Fort Severn Airport CA
CYET,"53° 34' 44.04"" N","116° 27' 53.99"" W",Edson Airport CA
CYEU,"79° 59' 40.91"" N","85° 48' 51.12"" W",Eureka Airport CA
CYEV,"68° 18' 15.12"" N","133° 28' 58.81"" W",Inuvik (Mike Zubko) Airport CA
CYEY,"48° 33' 50.04"" N","78° 14' 58.93"" W",Amos/Magny Airport CA
CYFA,"52° 12' 5.04"" N","81° 41' 48.84"" W",Fort Albany Airport CA
CYFB,"63° 45' 23.04"" N","68° 33' 20.89"" W",Iqaluit Airport CA
CYFC,"45° 52' 8.04"" N","66° 32' 13.92"" W",Fredericton Airport CA
CYFE,"48° 44' 45.96"" N","69° 5' 49.91"" W",Forestville Airport CA
CYFH,"51° 33' 42.84"" N","87° 54' 28.08"" W",Fort Hope Airport CA
CYFJ,"46° 24' 33.84"" N","74° 46' 48.00"" W",Rivière Rouge/Mont-Tremblant International Inc Airport CA
CYFO,"54° 40' 41.16"" N","101° 40' 55.20"" W",Flin Flon Airport CA
CYFR,"61° 10' 50.89"" N","113° 41' 24.01"" W",Fort Resolution Airport CA
CYFS,"61° 45' 36.72"" N","121° 14' 13.20"" W",Fort Simpson Airport CA
CYFT,"55° 4' 36.84"" N","59° 11' 11.04"" W",Makkovik Airport CA
CYGB,"49° 41' 39.11"" N","124° 31' 4.79"" W",Texada/Gillies Bay Airport CA
CYGD,"43° 46' 0.84"" N","81° 42' 38.17"" W",Goderich Airport CA
CYGH,"66° 14' 26.88"" N","128° 39' 3.60"" W",Fort Good Hope Airport CA
CYGK,"44° 13' 31.08"" N","76° 35' 48.84"" W",Kingston Airport CA
CYGL,"53° 37' 31.08"" N","77° 42' 15.12"" W",La Grande Rivière Airport CA
CYGM,"50° 37' 41.16"" N","97° 2' 35.87"" W",Gimli Industrial Park Airport CA
CYGO,"54° 33' 32.04"" N","94° 29' 29.05"" W",Gods Lake Narrows Airport CA
CYGP,"48° 46' 31.08"" N","64° 28' 42.96"" W",Gaspé Airport CA
CYGQ,"49° 46' 41.88"" N","86° 56' 21.84"" W",Geraldton (Greenstone Regional) Airport CA
CYGR,"47° 25' 28.93"" N","61° 46' 41.16"" W",Îles-de-la-Madeleine Airport CA
CYGT,"69° 21' 52.92"" N","81° 48' 57.96"" W",Igloolik Airport CA
CYGV,"50° 16' 54.83"" N","63° 36' 41.04"" W",Havre St-Pierre Airport CA
CYGW,"55° 16' 54.83"" N","77° 45' 55.07"" W",Kuujjuarapik Airport CA
CYGX,"56° 21' 26.99"" N","94° 42' 38.17"" W",Gillam Airport CA
CYGZ,"76° 25' 33.97"" N","82° 54' 33.13"" W",Grise Fiord Airport CA
CYHA,"61° 2' 47.03"" N","69° 37' 4.07"" W",Quaqtaq Airport CA
CYHD,"49° 49' 54.12"" N","92° 44' 39.13"" W",Dryden Regional Airport CA
CYHE,"49° 22' 5.89"" N","121° 29' 52.80"" W",Hope Airport CA
CYHF,"49° 42' 51.12"" N","83° 41' 9.95"" W",Hearst (René Fontaine) Municipal Airport CA
CYHH,"51° 41' 27.96"" N","76° 8' 8.15"" W",Nemiscau Airport CA
CYHI,"70° 45' 46.09"" N","117° 48' 21.60"" W",Ulukhaktok/Holman Airport CA
CYHK,"68° 38' 8.15"" N","95° 50' 58.92"" W",Gjoa Haven Airport CA
CYHM,"43° 10' 24.96"" N","79° 56' 5.99"" W",Hamilton Airport CA
CYHN,"49° 11' 35.16"" N","84° 45' 32.05"" W",Hornepayne Municipal Airport CA
CYHO,"55° 26' 53.88"" N","60° 13' 42.96"" W",Hopedale Airport CA
CYHR,"50° 28' 8.04"" N","59° 38' 12.12"" W",Chevery Airport CA
CYHT,"60° 47' 21.12"" N","137° 32' 45.62"" W",Haines Junction Airport CA
CYHU,"45° 31' 3.01"" N","73° 25' 0.84"" W",Montréal/St-Hubert Airport CA
CYHY,"60° 50' 22.92"" N","115° 46' 58.79"" W",Hay River Airport CA
CYHZ,"44° 52' 50.87"" N","63° 30' 30.95"" W",Halifax Stanfield International Airport CA
CYIB,"48° 46' 26.04"" N","91° 38' 18.97"" W",Atikokan Municipal Airport CA
CYID,"44° 32' 45.04"" N","65° 47' 7.53"" W",Digby / Annapolis Regional Airport CA
CYIF,"51° 12' 42.12"" N","58° 39' 29.87"" W",Saint-Augustin Airport CA
CYIK,"62° 25' 2.28"" N","77° 55' 31.08"" W",Ivujivik Airport CA
CYIO,"72° 40' 59.87"" N","77° 58' 0.11"" W",Pond Inlet Airport CA
CYIV,"53° 51' 25.92"" N","94° 39' 12.97"" W",Island Lake Airport CA
CYJF,"60° 14' 8.89"" N","123° 28' 8.41"" W",Fort Liard Airport CA
CYJN,"45° 17' 39.84"" N","73° 16' 51.95"" W",St-Jean Airport CA
CYJT,"48° 32' 39.12"" N","58° 32' 60.00"" W",Stephenville Airport CA
CYKA,"50° 42' 7.93"" N","120° 26' 38.40"" W",Kamloops Airport CA
CYKD,"68° 13' 23.87"" N","135° 0' 21.59"" W",Aklavik Airport CA
CYKF,"43° 27' 38.88"" N","80° 22' 42.96"" W",Kitchener/Waterloo Regional Airport CA
CYKJ,"57° 15' 21.96"" N","105° 37' 4.79"" W",Key Lake Airport CA
CYKL,"54° 48' 19.09"" N","66° 48' 19.07"" W",Schefferville Airport CA
CYKO,"60° 49' 6.96"" N","78° 8' 54.95"" W",Akulivik Airport CA
CYKQ,"51° 28' 23.88"" N","78° 45' 29.88"" W",Waskaganish Airport CA
CYKX,"48° 12' 37.08"" N","79° 58' 53.04"" W",Kirkland Lake Airport CA
CYKY,"51° 31' 3.01"" N","109° 10' 51.60"" W",Kindersley Airport CA
CYKZ,"43° 51' 43.93"" N","79° 22' 12.01"" W",Toronto/Buttonville Municipal Airport CA
CYLA,"59° 17' 48.12"" N","69° 35' 58.92"" W",Aupaluk Airport CA
CYLC,"62° 50' 59.99"" N","69° 52' 59.88"" W",Kimmirut Airport CA
CYLD,"47° 49' 12.00"" N","83° 20' 48.13"" W",Chapleau Airport CA
CYLH,"52° 11' 44.15"" N","87° 56' 3.11"" W",Lansdowne House Airport CA
CYLJ,"54° 7' 31.08"" N","108° 31' 22.81"" W",Meadow Lake Airport CA
CYLK,"62° 25' 5.88"" N","110° 40' 55.20"" W",Lutselk'e Airport CA
CYLL,"53° 18' 33.12"" N","110° 4' 22.79"" W",Lloydminster Airport CA
CYLR,"56° 30' 47.89"" N","99° 59' 7.07"" W",Leaf Rapids Airport CA
CYLT,"82° 31' 4.08"" N","62° 16' 50.17"" W",Alert Airport CA
CYLU,"58° 42' 41.04"" N","65° 59' 34.07"" W",Kangiqsualujjuaq (Georges River) Airport CA
CYLW,"49° 57' 21.96"" N","119° 22' 40.79"" W",Kelowna Airport CA
CYMA,"63° 36' 59.05"" N","135° 52' 4.79"" W",Mayo Airport CA
CYME,"48° 51' 24.84"" N","67° 27' 11.88"" W",Matane Airport CA
CYMG,"49° 5' 2.04"" N","85° 51' 38.17"" W",Manitouwadge Airport CA
CYMH,"52° 18' 10.08"" N","55° 50' 49.91"" W",Mary's Harbour Airport CA
CYMJ,"50° 19' 49.08"" N","105° 33' 32.39"" W",Moose Jaw Air Vice Marshal C. M. McEwen Airport CA
CYML,"47° 35' 51.00"" N","70° 13' 26.04"" W",Charlevoix Airport CA
CYMM,"56° 39' 11.88"" N","111° 13' 19.20"" W",Fort McMurray Airport CA
CYMO,"51° 17' 27.96"" N","80° 36' 28.09"" W",Moosonee Airport CA
CYMT,"49° 46' 18.84"" N","74° 31' 41.16"" W",Chibougamau/Chapais Airport CA
CYMU,"56° 32' 9.95"" N","76° 31' 5.89"" W",Umiujaq Airport CA
CYMX,"45° 40' 46.20"" N","74° 2' 19.31"" W",Montréal-Mirabel International Airport CA
CYNA,"50° 11' 24.00"" N","61° 47' 21.12"" W",Natashquan Airport CA
CYNC,"53° 0' 38.16"" N","78° 49' 51.96"" W",Wemindji Airport CA
CYND,"45° 31' 18.13"" N","75° 33' 48.96"" W",Ottawa / Gatineau Airport CA
CYNE,"53° 57' 29.89"" N","97° 50' 39.12"" W",Norway House Airport CA
CYNL,"58° 16' 36.12"" N","104° 4' 55.20"" W",Points North Landing Airport CA
CYNM,"49° 45' 42.12"" N","77° 48' 10.09"" W",Matagami Airport CA
CYNN,"59° 29' 15.00"" N","97° 46' 49.07"" W",Nejanilini Lake Airport CA
CYNR,"57° 22' 54.11"" N","111° 42' 3.59"" W",Fort Mackay / Horizon Airport CA
CYOA,"64° 41' 56.03"" N","110° 36' 53.99"" W",Ekati Airport CA
CYOC,"67° 34' 14.17"" N","139° 50' 20.42"" W",Old Crow Airport CA
CYOD,"54° 24' 18.00"" N","110° 16' 44.40"" W",Cold Lake Airport CA
CYOH,"54° 55' 59.88"" N","95° 16' 44.04"" W",Oxford House Airport CA
CYOJ,"58° 37' 17.04"" N","117° 9' 54.00"" W",High Level Airport CA
CYOO,"43° 55' 22.07"" N","78° 53' 41.99"" W",Oshawa Airport CA
CYOP,"58° 29' 29.05"" N","119° 24' 28.79"" W",Rainbow Lake Airport CA
CYOS,"44° 35' 25.09"" N","80° 50' 15.01"" W",Owen Sound/Billy Bishop Regional Airport CA
CYOW,"45° 19' 20.99"" N","75° 40' 9.11"" W",Ottawa/Macdonald-Cartier International Airport CA
CYPA,"53° 12' 51.12"" N","105° 40' 22.79"" W",Prince Albert (Glass Field) Airport CA
CYPC,"69° 21' 39.02"" N","124° 4' 31.69"" W",Paulatuk Airport CA
CYPD,"45° 39' 24.12"" N","61° 22' 5.16"" W",Port Hawkesbury Airport CA
CYPE,"56° 13' 36.83"" N","117° 26' 49.19"" W",Peace River Airport CA
CYPG,"49° 54' 11.16"" N","98° 16' 26.05"" W",Portage La Prairie/Southport Airport CA
CYPH,"58° 28' 18.84"" N","78° 4' 36.83"" W",Inukjuak Airport CA
CYPL,"51° 26' 47.04"" N","90° 12' 51.13"" W",Pickle Lake Airport CA
CYPM,"51° 49' 10.91"" N","93° 58' 23.87"" W",Pikangikum Airport CA
CYPN,"49° 50' 11.04"" N","64° 17' 18.95"" W",Port-Menier Airport CA
CYPO,"54° 59' 17.15"" N","85° 26' 35.87"" W",Peawanuck Airport CA
CYPQ,"44° 13' 48.00"" N","78° 21' 47.87"" W",Peterborough Airport CA
CYPR,"54° 17' 9.95"" N","130° 26' 42.03"" W",Prince Rupert Airport CA
CYPW,"49° 50' 3.13"" N","124° 30' 0.00"" W",Powell River Airport CA
CYPX,"60° 3' 2.15"" N","77° 17' 12.85"" W",Puvirnituq Airport CA
CYPY,"58° 46' 1.92"" N","111° 7' 1.19"" W",Fort Chipewyan Airport CA
CYQA,"44° 58' 28.92"" N","79° 18' 11.88"" W",Muskoka Airport CA
CYQB,"46° 47' 27.96"" N","71° 23' 35.89"" W",Québec/Jean Lesage International Airport CA
CYQD,"53° 58' 17.04"" N","101° 5' 27.61"" W",The Pas Airport CA
