ICAO,Latitude,Longitude,Name
ABJ,"5° 15' 41.00"" N","3° 55' 34.64"" W",Félix-Houphouët-Boigny International Airport (COTE D'IVOIRE)
ABK,"6° 44' 2.40"" N","44° 15' 10.79"" E",Kabri Dar Airport (Ethiopia)
ABL,"67° 6' 22.68"" N","157° 51' 25.18"" W",Ambler Airport (United States)
ABM,"10° 57' 2.88"" S","142° 27' 32.40"" E",Bamaga Injinoo Airport (Australia)
ABN,"5° 30' 45.79"" N","54° 3' 0.35"" W",Albina Airport (Suriname)
ABQ,"35° 2' 24.80"" N","106° 36' 33.10"" W",Albuquerque International Sunport (United States)
ABR,"45° 26' 56.60"" N","98° 25' 18.60"" W",Aberdeen Regional Airport (United States)
ABS,"22° 22' 33.60"" N","31° 36' 42.12"" E",Abu Simbel Airport (Egypt)
ABT,"20° 17' 45.96"" N","41° 38' 3.48"" E",Al-Baha Domestic Airport (Saudi Arabia)
ABU,"9° 4' 22.98"" S","124° 54' 18.00"" E",Haliwen Airport (Indonesia)
ABV,"9° 0' 24.44"" N","7° 15' 47.41"" E",Nnamdi Azikiwe International Airport (Nigeria)
ABX,"36° 4' 4.08"" S","146° 57' 28.77"" E",Albury Airport (Australia)
ABY,"31° 32' 7.85"" N","84° 11' 40.10"" W",Southwest Georgia Regional Airport (United States)
ABZ,"57° 12' 6.84"" N","2° 11' 52.01"" W",Aberdeen Airport (United Kingdom)
ACA,"16° 45' 25.56"" N","99° 45' 14.39"" W",General Juan N. Álvarez International Airport (Mexico)
ACB,"44° 59' 18.87"" N","85° 11' 54.08"" W",Antrim County Airport (United States)
ACC,"5° 36' 18.68"" N","0° 10' 0.43"" W",Kotoka International Airport (Ghana)
ACD,"8° 29' 53.38"" N","77° 16' 26.39"" W",Alcides Fernández Airport (Colombia)
ACE,"28° 56' 43.80"" N","13° 36' 18.72"" W",Lanzarote Airport (Spain)
ACF,"27° 34' 13.08"" S","153° 0' 28.78"" E",Brisbane Archerfield Airport (Australia)
ACH,"47° 29' 6.00"" N","9° 33' 38.77"" E",St. Gallen Altenrhein Airport (Switzerland)
ACI,"49° 42' 21.96"" N","2° 12' 52.99"" W",Alderney Airport (United Kingdom)
ACK,"41° 15' 10.99"" N","70° 3' 36.65"" W",Nantucket Memorial Airport (United States)
ACL,"8° 18' 0.00"" N","73° 37' 50.16"" W",Cesar Airport (Colombia)
ACN,"29° 19' 58.44"" N","101° 5' 56.40"" W",Ciudad Acuna International Airport (Mexico)
ACP,"37° 20' 52.80"" N","46° 7' 40.44"" E","Sahand Airport (Iran, Islamic Republic of)"
ACR,"0° 34' 59.88"" S","72° 24' 29.88"" W",Araracuara Airport (Colombia)
ACS,"56° 16' 5.88"" N","90° 34' 14.88"" E",Achinsk Airport (Russian Federation)
ACT,"31° 36' 40.64"" N","97° 13' 49.87"" W",Waco Regional Airport (United States)
ACV,"40° 58' 41.20"" N","124° 6' 31.00"" W",Arcata-Eureka Airport (United States)
ACY,"39° 27' 27.30"" N","74° 34' 37.80"" W",Atlantic City International Airport (United States)
ACZ,"31° 5' 53.88"" N","61° 32' 38.04"" E","Zabol Airport (Iran, Islamic Republic of)"
ADA,"36° 58' 55.92"" N","35° 16' 49.44"" E",Adana Şakirpaşa Airport (Turkey)
ADB,"38° 17' 32.64"" N","27° 9' 25.20"" E",Adnan Menderes Airport (Turkey)
ADD,"8° 58' 40.40"" N","38° 47' 57.48"" E",Bole International Airport (Ethiopia)
ADDE,"32° 54' 52.92"" N","85° 57' 46.79"" W",Thomas C Russell Field (United States)
ADE,"12° 49' 46.20"" N","45° 1' 43.68"" E",Aden International Airport (Yemen)
ADF,"37° 43' 53.04"" N","38° 28' 8.04"" E",Adıyaman Airport (Turkey)
ADG,"41° 52' 3.63"" N","84° 4' 38.30"" W",Lenawee County Airport (United States)
ADI,"22° 27' 43.92"" S","14° 58' 48.00"" E",Arandis Airport (Namibia)
ADJ,"31° 58' 21.72"" N","35° 59' 29.76"" E",Marka International Airport (Jordan)
ADK,"51° 52' 40.67"" N","176° 38' 45.71"" W",Adak Island Airport (United States)
ADL,"34° 56' 42.00"" S","138° 31' 51.62"" E",Adelaide International Airport (Australia)
ADM,"34° 18' 10.84"" N","97° 1' 10.68"" W",Ardmore Municipal Airport (United States)
ADN,"5° 40' 0.01"" N","75° 52' 59.88"" W",Andes Airport (Colombia)
ADO,"30° 26' 17.88"" S","137° 8' 13.18"" E",Andamooka Airport (Australia)
ADP,"8° 18' 5.36"" N","80° 25' 40.45"" E",Anuradhapura Airport (Sri Lanka)
ADQ,"57° 45' 0.00"" N","152° 29' 38.41"" W",Kodiak Airport (United States)
ADR,"33° 27' 6.12"" N","79° 31' 34.24"" W",Robert F. Swinnie Airport (United States)
ADS,"32° 58' 6.81"" N","96° 50' 11.21"" W",Addison Airport (United States)
ADT,"39° 50' 24.50"" N","101° 2' 31.30"" W",Ada Municipal Airport (United States)
ADU,"38° 19' 32.52"" N","48° 25' 27.84"" E","Ardabil Airport (Iran, Islamic Republic of)"
ADW,"38° 48' 38.90"" N","76° 52' 1.30"" W",Andrews Air Force Base (United States)
ADX,"56° 22' 22.43"" N","2° 52' 6.38"" W",RAF Leuchars (United Kingdom)
ADY,"22° 40' 44.40"" S","29° 3' 19.80"" E",Alldays Airport (South Africa)
ADZ,"12° 35' 0.96"" N","81° 42' 40.32"" W",Gustavo Rojas Pinilla International Airport (Colombia)
AEA,"0° 29' 27.00"" N","173° 49' 44.38"" E",Abemama Atoll Airport (Kiribati)
AEB,"23° 43' 14.16"" N","106° 57' 36.00"" E",Tian Yang Air Base (China)
AEG,"1° 24' 0.36"" N","99° 25' 49.79"" E",Aek Godang Airport (Indonesia)
AEH,"13° 50' 49.20"" N","20° 50' 39.48"" E",Abéché Airport (Chad)
AEL,"43° 40' 53.50"" N","93° 22' 2.10"" W",Albert Lea Municipal Airport (United States)
AEO,"16° 42' 40.68"" N","9° 38' 16.37"" W",Aioun El Atrouss Airport (Mauritania)
AEP,"34° 33' 33.12"" S","58° 24' 56.16"" W",Jorge Newbery Airpark (Argentina)
AER,"43° 26' 59.65"" N","39° 57' 23.76"" E",Sochi International Airport (Russian Federation)
AES,"62° 33' 45.00"" N","6° 7' 10.92"" E","Ålesund Airport, Vigra (Norway)"
AET,"66° 33' 6.49"" N","152° 37' 19.18"" W",Allakaket Airport (United States)
AEU,"25° 52' 32.52"" N","55° 1' 58.80"" E","Abumusa Island Airport (Iran, Islamic Republic of)"
AEX,"31° 19' 38.64"" N","92° 32' 59.40"" W",Alexandria International Airport (United States)
AEY,"65° 39' 36.01"" N","18° 4' 21.72"" W",Akureyri Airport (Iceland)
AFA,"34° 35' 17.88"" S","68° 24' 14.04"" W",San Rafael Airport (Argentina)
AFB,"25° 49' 48.00"" S","28° 13' 21.00"" E",Waterkloof Air Force Base Airport (South Africa)
AFD,"33° 33' 15.12"" S","26° 52' 39.72"" E",Port Alfred Airport (South Africa)
AFE,"56° 57' 41.04"" N","133° 54' 36.01"" W",Kake Airport (United States)
AFF,"38° 58' 10.97"" N","104° 48' 46.19"" W",United States Air Force Academy Airfield (United States)
AFI,"6° 55' 0.01"" N","75° 4' 0.12"" W",Amalfi Airport (Colombia)
AFL,"9° 51' 59.00"" S","56° 6' 18.00"" W",Alta Floresta Airport (Brazil)
AFN,"42° 48' 18.48"" N","72° 0' 10.88"" W",Jaffrey Airport - Silver Ranch Airport (United States)
AFO,"42° 42' 40.49"" N","110° 56' 31.79"" W",Afton Municipal Airport (United States)
AFS,"41° 36' 50.04"" N","64° 13' 59.52"" E",Sugraly Airport (Uzbekistan)
AFW,"32° 59' 15.50"" N","97° 19' 7.70"" W",Fort Worth Alliance Airport (United States)
AFY,"38° 43' 35.03"" N","30° 36' 3.96"" E",Afyon Airport (Turkey)
AFZ,"36° 10' 5.15"" N","57° 35' 42.72"" E","Sabzevar National Airport (Iran, Islamic Republic of)"
AGA,"30° 19' 30.00"" N","9° 24' 47.05"" W",Al Massira Airport (Morocco)
AGAT,"8° 52' 23.99"" S","161° 0' 39.61"" E",Atoifi Airport (Solomon Islands)
AGB,"48° 25' 31.00"" N","10° 55' 54.00"" E",Augsburg Airport (Germany)
AGBA,"7° 54' 46.01"" S","156° 42' 21.58"" E",Barakoma Airport (Solomon Islands)
AGC,"40° 21' 15.85"" N","79° 55' 48.61"" W",Allegheny County Airport (United States)
AGE,"53° 46' 58.01"" N","7° 54' 50.00"" E",Wangerooge Airport (Germany)
AGEV,"7° 34' 32.99"" S","156° 35' 49.20"" E",Geva Airport (Solomon Islands)
AGF,"44° 10' 28.93"" N","0° 35' 26.00"" E",Agen - La Garenne Aerodrome (France)
AGGA,"8° 42' 9.25"" S","160° 40' 55.22"" E",Gwaunaru'u Airport (Solomon Islands)
AGGE,"6° 59' 26.68"" S","155° 53' 11.96"" E",Ballalae Airport (Solomon Islands)
AGGF,"8° 6' 27.00"" S","159° 34' 37.19"" E",Fera/Maringe Airport (Solomon Islands)
AGGH,"9° 25' 40.80"" S","160° 3' 17.97"" E",Honiara International Airport (Solomon Islands)
AGGI,"9° 44' 51.00"" S","159° 50' 20.42"" E",Babanakira Airport (Solomon Islands)
AGGK,"10° 26' 58.92"" S","161° 53' 52.78"" E",Ngorangora Airport (Solomon Islands)
AGGL,"10° 43' 13.08"" S","165° 47' 41.99"" E",Santa Cruz/Graciosa Bay/Luova Airport (Solomon Islands)
AGGM,"8° 19' 40.69"" S","157° 15' 46.80"" E",Munda Airport (Solomon Islands)
AGGN,"8° 5' 52.01"" S","156° 51' 50.39"" E",Nusatupe Airport (Solomon Islands)
AGGO,"7° 25' 0.98"" S","155° 33' 54.01"" E",Mono Airport (Solomon Islands)
AGGP,"9° 38' 30.01"" S","161° 25' 30.01"" E",Parasi Airport (Solomon Islands)
AGGR,"11° 32' 2.04"" S","160° 3' 46.81"" E",Rennell/Tingoa Airport (Solomon Islands)
AGGS,"8° 34' 44.00"" S","157° 52' 33.63"" E",Sege Airport (Solomon Islands)
AGGU,"9° 51' 42.01"" S","160° 49' 29.99"" E",Marau Airport (Solomon Islands)
AGGV,"7° 35' 8.02"" S","158° 43' 51.61"" E",Suavanao Airport (Solomon Islands)
AGH,"56° 17' 45.96"" N","12° 50' 49.56"" E",Ängelholm-Helsingborg Airport (former ICAO code: ESDB) (Sweden)
AGI,"5° 46' 0.00"" N","56° 37' 59.99"" W",Wageningen Airport (Suriname)
AGJ,"26° 35' 33.00"" N","127° 14' 27.59"" E",Aguni Airport (Japan)
AGKG,"7° 19' 58.80"" S","157° 34' 58.77"" E",Kagau Island Airport (Solomon Islands)
AGN,"57° 30' 12.80"" N","134° 35' 6.34"" W",Angoon Seaplane Base (United States)
AGO,"33° 13' 38.88"" N","93° 13' 1.17"" W",Magnolia Municipal Airport (United States)
AGP,"36° 40' 29.64"" N","4° 29' 56.80"" W",Pablo Ruiz Picasso Airport (Spain)
AGQ,"38° 36' 7.20"" N","21° 21' 4.32"" E",Agrinion Airport (Greece)
AGR,"27° 9' 20.88"" N","77° 57' 39.24"" E",Kheria Airport (India)
AGRC,"8° 7' 35.01"" S","157° 8' 34.82"" E",Ringi Cove Airport (Solomon Islands)
AGRM,"8° 10' 5.02"" S","157° 38' 34.82"" E",Ramata Airport (Solomon Islands)
AGS,"33° 22' 11.80"" N","81° 57' 52.20"" W",Augusta Regional Airport (United States)
AGT,"25° 27' 36.00"" S","54° 50' 24.00"" W",Guarani International Airport (Alejo Garcia Airport) (Paraguay)
AGU,"21° 42' 20.16"" N","102° 19' 4.80"" W",Lic. Jesús Terán Peredo International Airport (Mexico)
AGV,"9° 33' 12.15"" N","69° 14' 16.33"" W",Oswaldo Guevara Mujica Airport (Venezuela)
AGX,"10° 49' 25.32"" N","72° 10' 33.61"" E",Agatti Island Airport (India)
AGZ,"29° 16' 54.48"" S","18° 48' 50.04"" E",Aggeneys Airport (South Africa)
AHB,"18° 14' 25.44"" N","42° 39' 23.76"" E",Abha Regional Airport (Saudi Arabia)
AHC,"40° 15' 58.19"" N","120° 9' 9.43"" W",Amedee Army Airfield (United States)
AHE,"14° 25' 41.16"" S","146° 15' 25.21"" W",Ahe Airport (French Polynesia)
AHH,"45° 16' 52.13"" N","92° 22' 31.41"" W",Amery Municipal Airport (United States)
AHI,"3° 20' 52.80"" S","128° 55' 33.58"" E",Amahai Airport (Indonesia)
AHL,"2° 29' 11.51"" N","59° 18' 48.24"" W",Aishalton Airport (Guyana)
AHM,"42° 11' 25.08"" N","122° 39' 39.61"" W",Ashland Municipal Sumner Parker Field (United States)
AHN,"33° 56' 54.94"" N","83° 19' 34.85"" W",Athens-Ben Epps Airport (United States)
AHO,"40° 37' 55.56"" N","8° 17' 26.77"" E",Fertilia Airport (Alghero Airport) (Italy)
AHS,"15° 28' 19.92"" N","84° 21' 7.93"" W",Ahuas Airport (Honduras)
AHU,"35° 10' 37.56"" N","3° 50' 22.27"" W",Charif Al ldrissi Airport (Morocco)
AHZ,"45° 5' 17.88"" N","6° 5' 4.99"" E",Alpe d'Huez Airport (France)
AIA,"42° 3' 11.60"" N","102° 48' 13.60"" W",Alliance Municipal Airport (United States)
AID,"40° 6' 31.00"" N","85° 36' 46.80"" W",Anderson Municipal Airport (Darlington Field) (United States)
AIF,"22° 38' 24.00"" S","50° 27' 11.00"" W",Assis Airport (Brazil)
AIG,"6° 31' 12.00"" N","23° 15' 36.00"" E",Yalinga Airport (Central African Republic)
AII,"11° 8' 48.80"" N","42° 43' 12.00"" E",Ali-Sabieh Airport (Djibouti)
AIK,"33° 38' 57.75"" N","81° 41' 6.13"" W",Aiken Municipal Airport (United States)
AIN,"70° 38' 16.80"" N","159° 59' 41.98"" W",Wainwright Airport (United States)
AIO,"41° 24' 26.40"" N","95° 2' 48.60"" W",Atlantic Municipal Airport (United States)
AIR,"10° 15' 1.00"" S","59° 23' 2.00"" W",Aripuanã Airport (Brazil)
AIS,"2° 36' 58.00"" S","176° 48' 10.78"" E",Arorae Island Airport (Kiribati)
AIT,"18° 49' 51.24"" S","159° 45' 50.43"" W",Aitutaki Island Airport (Cook Islands)
AIU,"19° 58' 4.08"" S","158° 7' 8.41"" W",Atiu Island Airport (Cook Islands)
AIV,"33° 6' 23.27"" N","88° 11' 52.05"" W",George Downer Airport (United States)
AIZ,"38° 5' 45.73"" N","92° 32' 58.16"" W",Lee C. Fine Memorial Airport (United States)
AJA,"41° 55' 24.96"" N","8° 48' 10.51"" E",Ajaccio Napoleon Bonaparte Airport (France)
AJF,"29° 47' 6.36"" N","40° 5' 59.99"" E",Al-Jawf Domestic Airport (Saudi Arabia)
AJI,"39° 39' 16.35"" N","43° 1' 33.52"" E",Agri Airport (Turkey)
AJJ,"19° 43' 58.86"" N","14° 22' 59.70"" W",Akjoujt Airport (Mauritania)
AJK,"34° 8' 17.16"" N","49° 50' 50.29"" E","Arak Airport (Iran, Islamic Republic of)"
AJL,"23° 44' 47.77"" N","92° 48' 9.96"" E",Aizawl Airport (India)
AJN,"12° 7' 54.12"" S","44° 25' 49.09"" E",Ouani Airport (Comoros)
AJR,"65° 35' 25.09"" N","19° 16' 54.84"" E",Arvidsjaur Airport (Sweden)
AJU,"10° 59' 2.40"" S","37° 4' 13.08"" W",Santa Maria Airport (Brazil)
AJY,"16° 57' 57.60"" N","8° 0' 0.39"" E",Mano Dayak International Airport (Niger)
AKA,"32° 42' 29.16"" N","108° 55' 51.60"" E",Ankang Airport (China)
AKB,"52° 13' 14.11"" N","174° 12' 22.26"" W",Atka Airport (United States)
AKC,"41° 2' 14.99"" N","81° 28' 0.85"" W",Akron Fulton International Airport (United States)
AKD,"20° 41' 56.40"" N","77° 3' 30.96"" E",Akola Airport (India)
AKE,"1° 8' 22.81"" S","13° 54' 12.96"" E",Akieni Airport (Gabon)
AKF,"24° 10' 43.32"" N","23° 18' 50.40"" E",Kufra Airport (Libyan Arab Jamahiriya)
AKH,"24° 3' 45.72"" N","47° 34' 49.81"" E",Prince Sultan Air Base (Saudi Arabia)
AKI,"60° 54' 10.44"" N","161° 13' 51.61"" W",Akiak Airport (United States)
AKJ,"43° 40' 14.88"" N","142° 26' 49.22"" E",Asahikawa Airport (Japan)
AKK,"56° 56' 19.33"" N","154° 10' 58.80"" W",Akhiok Airport (United States)
AKL,"37° 0' 29.15"" S","174° 47' 31.23"" E",Auckland Airport (New Zealand)
AKN,"58° 40' 36.48"" N","156° 38' 56.41"" W",King Salmon Airport (United States)
AKO,"40° 10' 32.28"" N","103° 13' 19.30"" W",Colorado Plains Regional Airport (United States)
AKP,"68° 8' 0.95"" N","151° 44' 34.79"" W",Anaktuvuk Pass Airport (United States)
AKQ,"4° 36' 40.10"" S","105° 13' 55.21"" E",Gunung Batin Airport (Indonesia)
AKR,"7° 14' 48.26"" N","5° 18' 3.64"" E",Akure Airport (Nigeria)
AKS,"8° 42' 9.25"" S","160° 40' 55.22"" E",Gwaunaru'u Airport (Solomon Islands)
AKT,"34° 35' 25.50"" N","32° 59' 16.30"" E",RAF Akrotiri (Cyprus)
AKU,"41° 15' 45.00"" N","80° 17' 30.13"" E",Aksu Airport (China)
AKV,"60° 49' 6.96"" N","78° 8' 54.95"" W",Akulivik Airport (Canada)
AKW,"55° 34' 45.12"" N","133° 4' 33.61"" W",Klawock Airport (United States)
AKX,"50° 14' 44.88"" N","57° 12' 24.12"" E",Aqtobe Airport (Kazakhstan)
AKY,"20° 7' 57.72"" N","92° 52' 21.35"" E",Sittwe Airport (Myanmar (Burma))
ALA,"43° 21' 7.56"" N","77° 2' 25.79"" E",Almaty International Airport (Kazakhstan)
ALB,"42° 44' 53.76"" N","73° 48' 6.09"" W",Albany International Airport (United States)
ALC,"38° 16' 55.92"" N","0° 33' 29.36"" W",El Altet Airport (Spain)
ALD,"11° 40' 58.80"" S","69° 19' 58.80"" W",Alerta Airport (Peru)
ALE,"30° 23' 3.12"" N","103° 41' 2.39"" W",Alpine Casparis Municipal Airport (United States)
ALF,"69° 58' 33.95"" N","23° 22' 18.12"" E",Alta Airport (Norway)
ALG,"36° 41' 27.61"" N","3° 12' 55.48"" E",Houari Boumedienne Airport (Algeria)
ALH,"34° 56' 35.87"" S","117° 48' 32.39"" E",Albany Airport (Australia)
ALI,"27° 44' 27.20"" N","98° 1' 37.00"" W",Alice International Airport (United States)
ALJ,"28° 34' 30.00"" S","16° 31' 59.88"" E",Kortdoorn Airport (South Africa)
ALL,"44° 3' 2.15"" N","8° 7' 38.75"" E",Albenga Airport (Italy)
ALM,"32° 50' 23.80"" N","105° 59' 26.10"" W",Alamogordo-White Sands Regional Airport (United States)
ALN,"38° 53' 25.05"" N","90° 2' 45.76"" W",St. Louis Regional Airport (United States)
ALO,"42° 33' 25.49"" N","92° 24' 1.24"" W",Waterloo Regional Airport (United States)
ALP,"36° 10' 50.51"" N","37° 13' 27.84"" E",Aleppo International Airport (Nejrab Airport) (Syrian Arab Republic)
ALQ,"29° 48' 45.72"" S","55° 53' 36.23"" W",Alegrete Federal Airport (Brazil)
ALR,"45° 12' 42.12"" S","169° 22' 22.80"" E",Alexandra Airport (New Zealand)
ALS,"37° 26' 5.70"" N","105° 51' 59.60"" W",San Luis Valley Regional Airport (United States)
ALU,"11° 57' 29.52"" N","50° 44' 52.80"" E",Alula Airport (Somalia)
ALW,"46° 5' 41.61"" N","118° 17' 16.35"" W",Walla Walla Regional Airport (United States)
ALX,"32° 54' 52.92"" N","85° 57' 46.79"" W",Thomas C Russell Field (United States)
ALY,"31° 11' 2.04"" N","29° 56' 56.04"" E",El Nouzha Airport (Alexandria International Airport) (Egypt)
AMA,"35° 13' 9.73"" N","101° 42' 21.35"" W",Rick Husband Amarillo International Airport (United States)
AMB,"13° 11' 18.24"" S","48° 59' 16.80"" E",Ambilobe Airport (Madagascar)
AMC,"31° 21' 5.84"" N","113° 18' 21.11"" W",Am Timan Airport (Mexico)
AMD,"23° 4' 37.92"" N","72° 38' 4.91"" E",Sardar Vallabhbhai Patel International Airport (India)
AMH,"6° 2' 21.80"" N","37° 35' 25.80"" E",Arba Minch Airport (Ethiopia)
AMI,"8° 33' 38.56"" S","116° 5' 42.00"" E",Selaparang Airport (Indonesia)
AMJ,"16° 9' 57.47"" S","40° 41' 3.97"" W",Almenara Airport (Brazil)
AMK,"37° 12' 11.52"" N","107° 52' 8.41"" W",Animas Air Park (United States)
AMM,"31° 43' 21.36"" N","35° 59' 35.51"" E",Queen Alia International Airport (Jordan)
AMN,"43° 19' 19.71"" N","84° 41' 16.62"" W",Gratiot Community Airport (United States)
AMO,"14° 8' 47.32"" N","15° 18' 55.04"" E",Mao Airport (Chad)
AMP,"24° 41' 58.92"" S","44° 44' 3.12"" E",Ampanihy Airport (Madagascar)
AMQ,"3° 42' 36.94"" S","128° 5' 20.42"" E",Pattimura Airport (Indonesia)
AMS,"52° 18' 30.96"" N","4° 45' 50.00"" E",Amsterdam Airport Schiphol (Netherlands)
AMT,"26° 6' 29.88"" S","131° 12' 25.20"" E",Amata Airport (Australia)
AMV,"69° 45' 47.87"" N","61° 33' 23.04"" E",Amderma Airport (Russian Federation)
AMW,"41° 59' 31.36"" N","93° 37' 18.56"" W",Ames Municipal Airport (United States)
AMX,"21° 44' 17.88"" S","135° 14' 31.22"" E",Ammaroo Airport (Australia)
AMZ,"37° 1' 46.92"" S","174° 58' 22.83"" E",Ardmore Airport (New Zealand)
ANB,"33° 35' 17.40"" N","85° 51' 29.20"" W",Anniston Metropolitan Airport (United States)
ANC,"61° 10' 27.84"" N","149° 59' 45.61"" W",Ted Stevens Anchorage International Airport (United States)
AND,"34° 29' 40.50"" N","82° 42' 33.80"" W",Anderson Regional Airport (United States)
ANE,"47° 33' 37.08"" N","0° 18' 44.00"" W",Angers-Loire Airport (France)
ANF,"23° 26' 40.20"" S","70° 26' 42.36"" W",Cerro Moreno International Airport (Chile)
ANG,"45° 43' 45.11"" N","0° 13' 17.24"" E",Angoulême - Brie - Champniers Airport (France)
ANI,"61° 34' 53.76"" N","159° 32' 34.80"" W",Aniak Airport (United States)
ANJ,"2° 50' 60.00"" S","13° 49' 1.20"" E",Zanaga Airport (Congo)
ANK,"39° 56' 59.27"" N","32° 41' 18.96"" E",Etismegut Airport (Turkey)
ANM,"14° 59' 57.84"" S","50° 19' 12.73"" E",Antsirabato Airport (Madagascar)
ANN,"55° 2' 32.64"" N","131° 34' 19.22"" W",Annette Island Airport (United States)
ANO,"16° 10' 54.73"" S","39° 56' 42.78"" E",Angoche Airport (Mozambique)
ANP,"38° 56' 34.36"" N","76° 34' 6.24"" W",Lee Airport (United States)
ANQ,"41° 38' 22.91"" N","85° 5' 0.57"" W",Tri-State Steuben County Airport (United States)
ANR,"51° 11' 21.84"" N","4° 27' 37.01"" E",Antwerp International Airport (Belgium)
ANS,"13° 42' 23.04"" S","73° 21' 1.45"" W",Andahuaylas Airport (Peru)
ANU,"17° 8' 12.12"" N","61° 47' 33.73"" W",V.C. Bird International Airport (Antigua and Barbuda)
ANV,"62° 38' 48.13"" N","160° 11' 27.58"" W",Anvik Airport (United States)
ANW,"42° 34' 45.22"" N","99° 59' 34.68"" W",Ainsworth Municipal Airport (United States)
ANX,"69° 17' 33.01"" N","16° 8' 39.12"" E","Andøya Airport, Andenes (Norway)"
ANY,"37° 9' 30.68"" N","98° 4' 46.73"" W",Anthony Municipal Airport (United States)
ANYN,"0° 32' 50.85"" S","166° 55' 8.42"" E",Nauru International Airport (Nauru)
AOC,"50° 58' 55.00"" N","12° 30' 23.00"" E",Leipzig-Altenburg Airport (Germany)
AOE,"39° 48' 35.63"" N","30° 31' 9.84"" E",Anadolu Airport (Turkey)
AOG,"41° 6' 19.08"" N","122° 51' 14.39"" E",Anshan Airport (China)
AOH,"40° 42' 25.00"" N","84° 1' 36.00"" W",Lima Allen County Airport (United States)
AOI,"43° 36' 58.68"" N","13° 21' 44.28"" E",Falconara Airport (Italy)
AOJ,"40° 44' 4.92"" N","140° 41' 27.58"" E",Aomori Airport (Japan)
AOK,"35° 25' 17.03"" N","27° 8' 45.60"" E",Karpathos Airport (Greece)
AOL,"29° 41' 21.84"" S","57° 9' 7.56"" W",Paso de los Libres Airport (Argentina)
AOO,"40° 17' 46.94"" N","78° 19' 12.08"" W",Altoona-Blair County Airport (United States)
AOR,"6° 11' 22.81"" N","100° 23' 52.81"" E",Sultan Abdul Halim Airport (Malaysia)
AOT,"45° 44' 18.60"" N","7° 22' 7.39"" E",Corrado Gex Airport (Italy)
AOU,"14° 48' 52.98"" N","106° 49' 18.12"" E",Attopeu Airport (Laos)
AOY,"27° 28' 53.04"" N","52° 36' 55.81"" E","Asaloyeh Airport (Iran, Islamic Republic of)"
APA,"39° 34' 12.40"" N","104° 50' 57.50"" W",Centennial Airport (United States)
APB,"14° 44' 8.16"" S","68° 24' 42.85"" W",Apolo Airport (Bolivia)
